Category: All categories

Time,Taylor Swift: (United States),Selena Gomez: (United States)
2021-06-02T14,45,18
2021-06-02T15,50,20
2021-06-02T16,56,20
2021-06-02T17,58,20
2021-06-02T18,63,20
2021-06-02T19,64,25
2021-06-02T20,68,28
2021-06-02T21,71,30
2021-06-02T22,67,34
2021-06-02T23,63,38
2021-06-03T00,49,33
2021-06-03T01,46,30
2021-06-03T02,35,23
2021-06-03T03,30,16
2021-06-03T04,40,15
2021-06-03T05,100,13
2021-06-03T06,62,12
2021-06-03T07,59,14
2021-06-03T08,54,20
2021-06-03T09,54,17
2021-06-03T10,51,16
2021-06-03T11,50,16
2021-06-03T12,52,16
2021-06-03T13,51,17
2021-06-03T14,52,17
2021-06-03T15,56,17
2021-06-03T16,60,17
2021-06-03T17,63,20
2021-06-03T18,62,22
2021-06-03T19,66,25
2021-06-03T20,69,28
2021-06-03T21,72,28
2021-06-03T22,67,29
2021-06-03T23,62,35
2021-06-04T00,44,30
2021-06-04T01,49,31
2021-06-04T02,41,25
2021-06-04T03,35,16
2021-06-04T04,34,13
2021-06-04T05,39,14
2021-06-04T06,41,14
2021-06-04T07,39,14
2021-06-04T08,41,14
2021-06-04T09,39,14
2021-06-04T10,42,16
2021-06-04T11,43,16
2021-06-04T12,45,14
2021-06-04T13,44,17
2021-06-04T14,49,18
2021-06-04T15,50,18
2021-06-04T16,50,18
2021-06-04T17,52,19
2021-06-04T18,54,22
2021-06-04T19,56,23
2021-06-04T20,63,25
2021-06-04T21,67,31
2021-06-04T22,64,32
2021-06-04T23,64,31
2021-06-05T00,58,38
2021-06-05T01,46,27
2021-06-05T02,40,24
2021-06-05T03,37,19
2021-06-05T04,34,18
2021-06-05T05,42,15
2021-06-05T06,44,15
2021-06-05T07,46,16
2021-06-05T08,45,17
2021-06-05T09,47,17
2021-06-05T10,47,17
2021-06-05T11,49,19
2021-06-05T12,47,18
2021-06-05T13,49,19
2021-06-05T14,53,23
2021-06-05T15,48,20
2021-06-05T16,52,19
2021-06-05T17,56,20
2021-06-05T18,56,20
2021-06-05T19,68,25
2021-06-05T20,70,28
2021-06-05T21,67,32
2021-06-05T22,72,39
2021-06-05T23,65,39
2021-06-06T00,51,37
2021-06-06T01,51,37
2021-06-06T02,36,25
2021-06-06T03,32,21
2021-06-06T04,37,19
2021-06-06T05,48,14
2021-06-06T06,37,16
2021-06-06T07,40,17
2021-06-06T08,45,17
2021-06-06T09,46,19
2021-06-06T10,45,20
2021-06-06T11,47,17
2021-06-06T12,51,18
2021-06-06T13,50,22
2021-06-06T14,55,35
2021-06-06T15,53,48
2021-06-06T16,53,68
2021-06-06T17,54,60
2021-06-06T18,56,60
2021-06-06T19,59,58
2021-06-06T20,52,58
2021-06-06T21,57,65
2021-06-06T22,60,77
2021-06-06T23,60,86
2021-06-07T00,59,64
2021-06-07T01,53,56
2021-06-07T02,38,36
2021-06-07T03,37,26
2021-06-07T04,37,22
2021-06-07T05,36,18
2021-06-07T06,36,20
2021-06-07T07,40,22
2021-06-07T08,39,22
2021-06-07T09,39,24
2021-06-07T10,41,25
2021-06-07T11,40,22
2021-06-07T12,46,21
2021-06-07T13,43,19
2021-06-07T14,43,22
2021-06-07T15,46,17
2021-06-07T16,52,18
2021-06-07T17,53,19
2021-06-07T18,57,20
2021-06-07T19,60,25
2021-06-07T20,60,25
2021-06-07T21,60,29
2021-06-07T22,60,29
2021-06-07T23,55,32
2021-06-08T00,52,33
2021-06-08T01,46,36
2021-06-08T02,32,21
2021-06-08T03,29,18
2021-06-08T04,32,15
2021-06-08T05,34,13
2021-06-08T06,36,13
2021-06-08T07,36,15
2021-06-08T08,36,14
2021-06-08T09,38,18
2021-06-08T10,40,24
2021-06-08T11,41,24
2021-06-08T12,45,23
2021-06-08T13,44,23
2021-06-08T14,44,25
2021-06-08T15,46,26
2021-06-08T16,49,28
2021-06-08T17,49,26
2021-06-08T18,51,28
2021-06-08T19,55,29
2021-06-08T20,57,33
2021-06-08T21,63,37
2021-06-08T22,54,41
2021-06-08T23,52,39
2021-06-09T00,53,43
2021-06-09T01,42,37
2021-06-09T02,32,26
2021-06-09T03,30,20
2021-06-09T04,30,15
2021-06-09T05,31,14
2021-06-09T06,33,14
2021-06-09T07,36,15
2021-06-09T08,36,15
2021-06-09T09,37,16
2021-06-09T10,39,17
2021-06-09T11,43,18
2021-06-09T12,41,19
2021-06-09T13,44,18
