Category: All categories

Month,Football: (United States),American football: (United States)
2004-01,12,10
2004-02,13,7
2004-03,13,5
2004-04,14,6
2004-05,15,6
2004-06,16,6
2004-07,14,9
2004-08,19,21
2004-09,21,35
2004-10,19,27
2004-11,18,24
2004-12,13,15
2005-01,13,11
2005-02,13,8
2005-03,13,6
2005-04,14,7
2005-05,14,6
2005-06,14,7
2005-07,13,10
2005-08,17,23
2005-09,23,40
2005-10,21,33
2005-11,19,28
2005-12,13,16
2006-01,13,13
2006-02,13,7
2006-03,12,5
2006-04,14,6
2006-05,17,7
2006-06,35,7
2006-07,20,11
2006-08,18,24
2006-09,24,46
2006-10,21,35
2006-11,19,31
2006-12,13,17
2007-01,13,13
2007-02,12,7
2007-03,13,6
2007-04,13,7
2007-05,14,6
2007-06,15,7
2007-07,14,11
2007-08,18,25
2007-09,26,48
2007-10,21,36
2007-11,19,32
2007-12,13,18
2008-01,13,13
2008-02,13,8
2008-03,13,6
2008-04,14,7
2008-05,16,6
2008-06,18,7
2008-07,13,11
2008-08,20,27
2008-09,23,44
2008-10,20,34
2008-11,19,34
2008-12,13,19
2009-01,12,12
2009-02,13,8
2009-03,14,6
2009-04,14,7
2009-05,16,6
2009-06,17,7
2009-07,14,10
2009-08,20,23
2009-09,25,48
2009-10,24,36
2009-11,23,35
2009-12,15,21
2010-01,14,15
2010-02,14,8
2010-03,15,6
2010-04,16,7
2010-05,19,6
2010-06,34,8
2010-07,21,10
2010-08,20,23
2010-09,24,49
2010-10,23,41
2010-11,22,35
2010-12,16,21
2011-01,13,18
2011-02,13,9
2011-03,12,7
2011-04,13,7
2011-05,14,7
2011-06,15,8
2011-07,18,12
2011-08,18,26
2011-09,24,60
2011-10,22,50
2011-11,20,46
2011-12,14,25
2012-01,13,17
2012-02,13,10
2012-03,13,7
2012-04,14,8
2012-05,15,7
2012-06,17,8
2012-07,15,12
2012-08,23,30
2012-09,24,67
2012-10,21,47
2012-11,20,45
2012-12,14,24
2013-01,13,16
2013-02,13,9
2013-03,14,7
2013-04,14,8
2013-05,14,7
2013-06,15,8
2013-07,14,12
2013-08,19,34
2013-09,25,66
2013-10,22,50
2013-11,21,50
2013-12,15,29
2014-01,14,17
2014-02,13,9
2014-03,14,6
2014-04,15,7
2014-05,16,8
2014-06,39,8
2014-07,25,12
2014-08,21,37
2014-09,26,65
2014-10,24,55
2014-11,22,57
2014-12,16,30
2015-01,16,21
2015-02,15,9
2015-03,15,7
2015-04,15,7
2015-05,16,7
2015-06,18,8
2015-07,18,12
2015-08,19,29
2015-09,26,82
2015-10,25,65
2015-11,23,62
2015-12,16,30
2016-01,14,23
2016-02,14,10
2016-03,13,7
2016-04,14,9
2016-05,15,8
2016-06,20,9
2016-07,13,11
2016-08,24,29
2016-09,26,85
2016-10,23,73
2016-11,21,65
2016-12,14,33
2017-01,14,22
2017-02,13,10
2017-03,12,7
2017-04,13,8
2017-05,13,8
2017-06,13,9
2017-07,13,12
2017-08,17,30
2017-09,25,86
2017-10,24,72
2017-11,21,72
2017-12,13,39
2018-01,13,23
2018-02,12,10
2018-03,11,8
2018-04,12,9
2018-05,12,8
2018-06,22,9
2018-07,21,13
2018-08,19,35
2018-09,27,100
2018-10,23,72
2018-11,21,71
2018-12,14,40
2019-01,13,21
2019-02,12,12
2019-03,12,8
2019-04,11,9
2019-05,12,9
2019-06,20,9
2019-07,19,13
2019-08,18,44
2019-09,25,89
2019-10,22,72
2019-11,22,77
2019-12,14,45
2020-01,12,21
2020-02,11,11
2020-03,8,6
2020-04,5,7
2020-05,6,7
2020-06,6,7
2020-07,7,9
2020-08,9,14
2020-09,14,35
2020-10,15,48
2020-11,12,45
2020-12,10,40
2021-01,10,25
2021-02,9,10
2021-03,10,9
2021-04,11,9
2021-05,11,9
2021-06,12,8
